2026-05-27 15:08:53,762 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.4%
2026-05-27 15:08:53,764 | WARNING | alerts | server-2 - HIGH RAM USAGE: 90.6%
2026-05-27 15:08:53,764 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.1%
2026-05-27 15:08:55,773 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.5%
2026-05-27 15:08:55,773 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.6%
2026-05-27 15:08:55,773 | WARNING | alerts | server-3 - HIGH RAM USAGE: 93.2%
2026-05-27 15:08:57,772 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.5%
2026-05-27 15:08:57,772 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.2%
2026-05-27 15:08:57,773 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.2%
2026-05-27 15:08:59,772 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.7%
2026-05-27 15:08:59,773 | WARNING | alerts | server-2 - HIGH RAM USAGE: 87.6%
2026-05-27 15:08:59,773 | WARNING | alerts | server-3 - HIGH RAM USAGE: 91.3%
2026-05-27 15:09:02,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.6%
2026-05-27 15:09:02,207 | WARNING | alerts | server-2 - HIGH RAM USAGE: 92.6%
2026-05-27 15:09:02,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.4%
2026-05-27 15:09:04,194 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.4%
2026-05-27 15:09:04,195 | WARNING | alerts | server-2 - HIGH RAM USAGE: 93.0%
2026-05-27 15:09:04,195 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.2%
2026-05-27 15:09:06,197 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.5%
2026-05-27 15:09:06,197 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.3%
2026-05-27 15:09:06,197 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.9%
2026-05-27 15:09:08,206 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.0%
2026-05-27 15:09:08,207 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.8%
2026-05-27 15:09:08,207 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.4%
2026-05-27 15:09:10,208 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.7%
2026-05-27 15:09:10,208 | WARNING | alerts | server-2 - HIGH RAM USAGE: 87.6%
2026-05-27 15:09:10,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.5%
2026-05-27 15:09:12,200 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.0%
2026-05-27 15:09:12,200 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.2%
2026-05-27 15:09:12,201 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.0%
2026-05-27 15:09:14,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.1%
2026-05-27 15:09:14,208 | WARNING | alerts | server-2 - HIGH RAM USAGE: 92.2%
2026-05-27 15:09:14,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 93.0%
2026-05-27 15:09:16,193 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.8%
2026-05-27 15:09:16,193 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.8%
2026-05-27 15:09:16,195 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.5%
2026-05-27 15:09:18,198 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.7%
2026-05-27 15:09:18,198 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.0%
2026-05-27 15:09:18,198 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.6%
2026-05-27 15:09:20,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.0%
2026-05-27 15:09:20,207 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.6%
2026-05-27 15:09:20,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.0%
2026-05-27 15:09:22,201 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.5%
2026-05-27 15:09:22,202 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.1%
2026-05-27 15:09:22,202 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.7%
2026-05-27 15:09:24,206 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.3%
2026-05-27 15:09:24,206 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.4%
2026-05-27 15:09:24,207 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.6%
2026-05-27 15:09:26,193 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.8%
2026-05-27 15:09:26,193 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.2%
2026-05-27 15:09:26,193 | WARNING | alerts | server-3 - HIGH RAM USAGE: 91.0%
2026-05-27 15:09:28,206 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.9%
2026-05-27 15:09:28,206 | WARNING | alerts | server-2 - HIGH RAM USAGE: 93.1%
2026-05-27 15:09:28,207 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.6%
2026-05-27 15:09:30,203 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.9%
2026-05-27 15:09:30,203 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.1%
2026-05-27 15:09:30,204 | WARNING | alerts | server-3 - HIGH CPU USAGE: 95.9%
2026-05-27 15:09:30,204 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.2%
2026-05-27 15:09:32,196 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.0%
2026-05-27 15:09:32,197 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.1%
2026-05-27 15:09:32,197 | WARNING | alerts | server-3 - HIGH RAM USAGE: 91.5%
2026-05-27 15:09:34,208 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.4%
2026-05-27 15:09:34,208 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.7%
2026-05-27 15:09:34,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 91.2%
2026-05-27 15:09:36,196 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.4%
2026-05-27 15:09:36,196 | WARNING | alerts | server-2 - HIGH RAM USAGE: 93.4%
2026-05-27 15:09:36,196 | WARNING | alerts | server-3 - HIGH RAM USAGE: 91.7%
2026-05-27 15:09:38,200 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.8%
2026-05-27 15:09:38,200 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.4%
2026-05-27 15:09:38,201 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.7%
2026-05-27 15:09:40,203 | WARNING | alerts | server-1 - HIGH RAM USAGE: 92.1%
2026-05-27 15:09:40,203 | WARNING | alerts | server-2 - HIGH RAM USAGE: 90.7%
2026-05-27 15:09:40,203 | WARNING | alerts | server-3 - HIGH CPU USAGE: 98.9%
2026-05-27 15:09:40,204 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.1%
2026-05-27 15:09:42,214 | WARNING | alerts | server-1 - HIGH RAM USAGE: 89.4%
2026-05-27 15:09:42,214 | WARNING | alerts | server-2 - HIGH RAM USAGE: 93.0%
2026-05-27 15:09:42,215 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.9%
2026-05-27 15:09:44,196 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.5%
2026-05-27 15:09:44,196 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.4%
2026-05-27 15:09:44,197 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.0%
2026-05-27 15:09:46,206 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.1%
2026-05-27 15:09:46,206 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.5%
2026-05-27 15:09:46,206 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.8%
2026-05-27 15:09:48,203 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.6%
2026-05-27 15:09:48,203 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.4%
2026-05-27 15:09:48,204 | WARNING | alerts | server-3 - HIGH CPU USAGE: 100.0%
2026-05-27 15:09:48,204 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.1%
2026-05-27 15:09:50,194 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.8%
2026-05-27 15:09:50,195 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.4%
2026-05-27 15:09:50,195 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.6%
2026-05-27 15:09:52,199 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.9%
2026-05-27 15:09:52,199 | WARNING | alerts | server-2 - HIGH RAM USAGE: 90.5%
2026-05-27 15:09:52,199 | WARNING | alerts | server-3 - HIGH RAM USAGE: 92.6%
2026-05-27 15:09:54,205 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.2%
2026-05-27 15:09:54,205 | WARNING | alerts | server-2 - HIGH RAM USAGE: 87.4%
2026-05-27 15:09:54,206 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.5%
2026-05-27 15:09:56,210 | WARNING | alerts | server-1 - HIGH RAM USAGE: 87.8%
2026-05-27 15:09:56,210 | WARNING | alerts | server-2 - HIGH RAM USAGE: 87.4%
2026-05-27 15:09:56,211 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.4%
2026-05-27 15:09:58,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.5%
2026-05-27 15:09:58,207 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.2%
2026-05-27 15:09:58,208 | WARNING | alerts | server-3 - HIGH RAM USAGE: 90.4%
2026-05-27 15:10:00,206 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.7%
2026-05-27 15:10:00,206 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.3%
2026-05-27 15:10:00,206 | WARNING | alerts | server-3 - HIGH RAM USAGE: 88.3%
2026-05-27 15:10:02,200 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.5%
2026-05-27 15:10:02,200 | WARNING | alerts | server-2 - HIGH RAM USAGE: 90.7%
2026-05-27 15:10:02,200 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.4%
2026-05-27 15:10:04,201 | WARNING | alerts | server-1 - HIGH RAM USAGE: 88.8%
2026-05-27 15:10:04,201 | WARNING | alerts | server-2 - HIGH RAM USAGE: 91.7%
2026-05-27 15:10:04,202 | WARNING | alerts | server-3 - HIGH RAM USAGE: 89.1%
2026-05-27 15:10:06,204 | WARNING | alerts | server-1 - HIGH RAM USAGE: 90.1%
2026-05-27 15:10:06,204 | WARNING | alerts | server-2 - HIGH RAM USAGE: 89.4%
2026-05-27 15:10:06,205 | WARNING | alerts | server-3 - HIGH RAM USAGE: 87.3%
2026-05-27 15:10:08,192 | WARNING | alerts | server-1 - HIGH RAM USAGE: 91.6%
2026-05-27 15:10:08,192 | WARNING | alerts | server-2 - HIGH RAM USAGE: 88.2%
2026-05-27 15:10:08,194 | WARNING | alerts | server-3 - HIGH RAM USAGE: 91.2%
2026-05-27 15:10:10,207 | WARNING | alerts | server-1 - HIGH RAM USAGE: 93.1%
2026-05-27 15:10:10,208 | WARNING | alerts | server-2 - HIGH RAM USAGE: 87.4%
