2026-06-15 23:13:19,915 | ERROR | [system] | Critical Database Infrastructure Fault during init: could not translate host name "db" to address: Name or service not known

2026-06-15 23:13:19,915 | INFO | [system] | Central database architecture successfully synchronized via Flask context.
2026-06-15 23:13:19,918 | WARNING | [system] | System initialized with missing or partial environment credentials. Check your .env configuration.
2026-06-15 23:13:53,460 | ERROR | [system] | Security Core Authentication Exception: could not translate host name "db" to address: Name or service not known

2026-06-15 23:13:56,475 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:13:56,709 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:13:59,146 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:01,643 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:02,146 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:04,832 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:06,642 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:07,859 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:15,093 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:16,201 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:18,095 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:19,201 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:20,794 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:22,204 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:23,812 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:26,505 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:26,654 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:27,194 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:28,646 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:29,347 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:29,496 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:35,895 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:36,645 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:36,730 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:36,730 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:37,220 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:39,189 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:39,197 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:39,330 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:39,738 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:39,738 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:39,901 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:41,896 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:41,896 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:42,416 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:42,746 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:43,190 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:45,181 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:45,415 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:45,884 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:47,197 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:47,884 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:48,088 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:49,205 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:55,637 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:56,448 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:56,740 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:57,198 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:57,754 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:58,330 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:59,449 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:59,721 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:59,740 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:14:59,888 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:00,438 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:01,338 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:02,137 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:02,423 | ERROR | [system] | Failed to fetch incident logs from PostgreSQL cluster: could not translate host name "db" to address: Name or service not known

2026-06-15 23:15:02,725 | ERROR | [system] | Failed to fetch cluster state from PostgreSQL: could not translate host name "db" to address: Name or service not known

